---- Reporte de Empleados ----
Nombre: Nombre: Test0 Apellido Ta0 || NSS: 000 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.000,00 €
Nombre: Nombre: Test1 Apellido Ta1 || NSS: 001 || Tipo de Empleado: EmpleadoPorHoras || Salario: 1.001,00 €
Nombre: Nombre: Test2 Apellido Ta2 || NSS: 002 || Tipo de Empleado: EmpleadoPorComision || Salario: 50,10 €
Nombre: Nombre: Test3 Apellido Ta3 || NSS: 003 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.163,24 €
Nombre: Nombre: Test5 Apellido Ta5 || NSS: 005 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.005,00 €
Nombre: Nombre: Test6 Apellido Ta6 || NSS: 006 || Tipo de Empleado: EmpleadoPorHoras || Salario: 6.036,00 €
Nombre: Nombre: Test7 Apellido Ta7 || NSS: 007 || Tipo de Empleado: EmpleadoPorComision || Salario: 50,35 €
Nombre: Nombre: Test8 Apellido Ta8 || NSS: 008 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.168,64 €
Nombre: Nombre: Test10 Apellido Ta10 || NSS: 010 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.010,00 €
Nombre: Nombre: Test11 Apellido Ta11 || NSS: 011 || Tipo de Empleado: EmpleadoPorHoras || Salario: 11.121,00 €
Nombre: Nombre: Test12 Apellido Ta12 || NSS: 012 || Tipo de Empleado: EmpleadoPorComision || Salario: 50,60 €
Nombre: Nombre: Test13 Apellido Ta13 || NSS: 013 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.174,04 €
Nombre: Nombre: Test15 Apellido Ta15 || NSS: 015 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.015,00 €
Nombre: Nombre: Test16 Apellido Ta16 || NSS: 016 || Tipo de Empleado: EmpleadoPorHoras || Salario: 16.256,00 €
Nombre: Nombre: Test17 Apellido Ta17 || NSS: 017 || Tipo de Empleado: EmpleadoPorComision || Salario: 50,85 €
Nombre: Nombre: Test18 Apellido Ta18 || NSS: 018 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.179,44 €
Nombre: Nombre: Test20 Apellido Ta20 || NSS: 020 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.020,00 €
Nombre: Nombre: Test21 Apellido Ta21 || NSS: 021 || Tipo de Empleado: EmpleadoPorHoras || Salario: 21.441,00 €
Nombre: Nombre: Test22 Apellido Ta22 || NSS: 022 || Tipo de Empleado: EmpleadoPorComision || Salario: 51,10 €
Nombre: Nombre: Test23 Apellido Ta23 || NSS: 023 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.184,84 €
Nombre: Nombre: Test25 Apellido Ta25 || NSS: 025 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.025,00 €
Nombre: Nombre: Test26 Apellido Ta26 || NSS: 026 || Tipo de Empleado: EmpleadoPorHoras || Salario: 26.676,00 €
Nombre: Nombre: Test27 Apellido Ta27 || NSS: 027 || Tipo de Empleado: EmpleadoPorComision || Salario: 51,35 €
Nombre: Nombre: Test28 Apellido Ta28 || NSS: 028 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.190,24 €
Nombre: Nombre: Test30 Apellido Ta30 || NSS: 030 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.030,00 €
Nombre: Nombre: Test31 Apellido Ta31 || NSS: 031 || Tipo de Empleado: EmpleadoPorHoras || Salario: 31.961,00 €
Nombre: Nombre: Test32 Apellido Ta32 || NSS: 032 || Tipo de Empleado: EmpleadoPorComision || Salario: 51,60 €
Nombre: Nombre: Test33 Apellido Ta33 || NSS: 033 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.195,64 €
Nombre: Nombre: Test35 Apellido Ta35 || NSS: 035 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.035,00 €
Nombre: Nombre: Test36 Apellido Ta36 || NSS: 036 || Tipo de Empleado: EmpleadoPorHoras || Salario: 37.296,00 €
Nombre: Nombre: Test37 Apellido Ta37 || NSS: 037 || Tipo de Empleado: EmpleadoPorComision || Salario: 51,85 €
Nombre: Nombre: Test38 Apellido Ta38 || NSS: 038 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.201,04 €
Nombre: Nombre: Test40 Apellido Ta40 || NSS: 040 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.040,00 €
Nombre: Nombre: Test41 Apellido Ta41 || NSS: 041 || Tipo de Empleado: EmpleadoPorHoras || Salario: 43.201,50 €
Nombre: Nombre: Test42 Apellido Ta42 || NSS: 042 || Tipo de Empleado: EmpleadoPorComision || Salario: 52,10 €
Nombre: Nombre: Test43 Apellido Ta43 || NSS: 043 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.206,44 €
Nombre: Nombre: Test45 Apellido Ta45 || NSS: 045 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.045,00 €
Nombre: Nombre: Test46 Apellido Ta46 || NSS: 046 || Tipo de Empleado: EmpleadoPorHoras || Salario: 51.254,00 €
Nombre: Nombre: Test47 Apellido Ta47 || NSS: 047 || Tipo de Empleado: EmpleadoPorComision || Salario: 52,35 €
Nombre: Nombre: Test48 Apellido Ta48 || NSS: 048 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.211,84 €
Nombre: Nombre: Test50 Apellido Ta50 || NSS: 050 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.050,00 €
Nombre: Nombre: Test51 Apellido Ta51 || NSS: 051 || Tipo de Empleado: EmpleadoPorHoras || Salario: 59.381,50 €
Nombre: Nombre: Test52 Apellido Ta52 || NSS: 052 || Tipo de Empleado: EmpleadoPorComision || Salario: 52,60 €
Nombre: Nombre: Test53 Apellido Ta53 || NSS: 053 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.217,24 €
Nombre: Nombre: Test55 Apellido Ta55 || NSS: 055 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.055,00 €
Nombre: Nombre: Test56 Apellido Ta56 || NSS: 056 || Tipo de Empleado: EmpleadoPorHoras || Salario: 67.584,00 €
Nombre: Nombre: Test57 Apellido Ta57 || NSS: 057 || Tipo de Empleado: EmpleadoPorComision || Salario: 52,85 €
Nombre: Nombre: Test58 Apellido Ta58 || NSS: 058 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.222,64 €
Nombre: Nombre: Test60 Apellido Ta60 || NSS: 060 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.060,00 €
Nombre: Nombre: Test61 Apellido Ta61 || NSS: 061 || Tipo de Empleado: EmpleadoPorHoras || Salario: 75.861,50 €
Nombre: Nombre: Test62 Apellido Ta62 || NSS: 062 || Tipo de Empleado: EmpleadoPorComision || Salario: 53,10 €
Nombre: Nombre: Test63 Apellido Ta63 || NSS: 063 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.228,04 €
